timestamp,CPU_USAGE,QUEUE_ID,CU,QUEUE_TYPE,MEM_USAGE,LJOB,RJOB
1591268040000,32,36,16,0,17,0,0
1591268340000,3,36,16,0,18,0,0
1591268640000,5,36,16,0,18,0,0
1591268940000,2,36,16,0,18,0,0
1591269240000,15,36,16,0,19,0,0
1591269600000,29,36,16,0,21,0,0
1591269900000,4,36,16,0,20,0,0
1591270200000,3,36,16,0,20,0,0
1591270500000,17,36,16,0,21,0,0
1591270800000,9,36,16,0,21,0,0
1591271100000,2,36,16,0,21,0,0
1591271400000,4,36,16,0,21,0,0
1591271700000,9,36,16,0,21,0,0
1591272000000,6,36,16,0,21,0,0
1591272300000,5,36,16,0,22,0,0
1591272660000,6,36,16,0,22,0,0
1591272960000,2,36,16,0,22,0,0
1591273260000,2,36,16,0,22,0,0
1591273560000,3,36,16,0,22,0,0
1591273860000,3,36,16,0,22,0,0
1591274160000,4,36,16,0,22,0,0
1591274460000,2,36,16,0,23,0,0
1591274760000,5,36,16,0,23,0,0
1591275060000,2,36,16,0,23,0,0
1591275360000,2,36,16,0,23,0,0
1591275660000,2,36,16,0,23,0,0
1591276020000,3,36,16,0,23,0,0
1591276320000,2,36,16,0,23,0,0
1591276620000,1,36,16,0,23,0,0
1591276920000,2,36,16,0,24,0,0
1591277220000,3,36,16,0,24,0,0
1591277520000,2,36,16,0,24,0,0
1591277820000,3,36,16,0,24,0,0
1591278120000,3,36,16,0,24,0,0
1591278420000,3,36,16,0,24,0,0
1591278720000,3,36,16,0,24,0,0
1591279020000,3,36,16,0,24,0,0
1591279320000,2,36,16,0,25,0,0
1591279680000,2,36,16,0,25,0,0
1591279980000,4,36,16,0,25,0,0
1591280280000,3,36,16,0,25,0,0
1591280580000,3,36,16,0,25,0,1
1591280880000,2,36,16,0,25,0,1
1591281180000,2,36,16,0,25,0,1
1591281480000,2,36,16,0,25,0,1
1591281780000,1,36,16,0,25,0,1
1591282080000,6,36,16,0,25,0,1
1591282380000,6,36,16,0,25,0,1
1591282680000,12,36,16,0,25,0,0
1591283040000,3,36,16,0,25,0,1
1591283340000,15,36,16,0,26,0,1
1591283640000,21,36,16,0,26,0,1
1591283940000,30,36,16,0,27,0,1
1591284240000,45,36,16,0,28,0,1
1591284540000,38,36,16,0,28,0,1
1591284840000,42,36,16,0,29,0,1
1591285140000,52,36,16,0,29,0,1
1591285440000,51,36,16,0,30,0,1
1591285740000,41,36,16,0,30,0,1
1591286040000,71,36,16,0,31,0,1
1591286400000,53,36,16,0,32,0,1
1591286700000,58,36,16,0,32,0,1
1591287000000,71,36,16,0,32,0,1
1591287300000,63,36,16,0,32,0,1
1591287600000,29,36,16,0,32,0,1
1591287900000,27,36,16,0,32,0,1
1591288200000,48,36,16,0,32,0,1
1591288500000,39,36,16,0,32,0,1
1591288800000,42,36,16,0,33,0,1
1591289100000,45,36,16,0,32,0,1
1591289400000,56,36,16,0,33,0,1
1591289760000,58,36,16,0,33,0,1
1591290060000,55,36,16,0,33,0,0
1591290360000,48,36,16,0,33,0,0
1591290660000,38,36,16,0,34,0,0
1591290960000,14,36,16,0,32,0,0
1591291260000,23,36,16,0,32,0,0
1591291560000,3,36,16,0,31,0,0
1591291860000,3,36,16,0,32,0,0
1591292160000,7,36,16,0,33,0,0
1591292460000,3,36,16,0,32,0,0
1591292760000,3,36,16,0,32,0,0
1591293060000,4,36,16,0,33,0,0
1591293420000,2,36,16,0,33,0,0
1591293720000,3,36,16,0,33,0,0
1591294020000,3,36,16,0,33,0,0
1591294320000,2,36,16,0,33,0,0
1591294620000,2,36,16,0,34,0,0
1591294920000,2,36,16,0,34,0,0
1591295220000,2,36,16,0,34,0,0
1591295520000,4,36,16,0,34,0,0
1591295820000,2,36,16,0,34,0,0
1591296120000,2,36,16,0,35,0,0
1591296420000,3,36,16,0,35,0,0
1591296720000,3,36,16,0,35,0,0
1591297080000,2,36,16,0,35,0,0
1591297380000,3,36,16,0,35,0,0
1591297680000,2,36,16,0,35,0,0
1591297980000,2,36,16,0,36,0,0
1591298280000,5,36,16,0,36,0,0
1591298580000,2,36,16,0,36,0,0
1591298880000,2,36,16,0,36,0,0
1591299180000,1,36,16,0,36,0,0
1591299480000,5,36,16,0,36,0,0
1591299780000,6,36,16,0,36,0,0
1591300080000,18,36,16,0,37,0,0
1591300440000,15,36,16,0,37,0,0
1591300740000,13,36,16,0,37,0,0
1591301040000,15,36,16,0,38,0,0
1591301340000,31,36,16,0,38,0,0
1591301640000,21,36,16,0,39,0,0
1591301940000,25,36,16,0,39,0,0
1591302240000,27,36,16,0,39,0,0
1591302540000,39,36,16,0,40,0,0
1591302840000,19,36,16,0,40,0,0
1591303140000,30,36,16,0,39,0,0
1591303440000,41,36,16,0,40,0,0
1591303740000,38,36,16,0,40,0,0
1591304040000,21,36,16,0,40,0,0
1591304400000,34,36,16,0,41,0,0
1591304700000,63,36,16,0,42,0,0
1591305000000,48,36,16,0,41,0,0
1591305300000,37,36,16,0,42,0,0
1591305600000,61,36,16,0,43,0,0
1591305900000,75,36,16,0,44,0,0
1591306200000,53,36,16,0,43,0,0
1591306500000,48,36,16,0,44,0,0
1591306800000,46,36,16,0,44,0,0
1591307100000,27,36,16,0,43,0,0
1591307400000,28,36,16,0,43,0,0
1591307760000,30,36,16,0,43,0,0
1591308060000,31,36,16,0,44,0,0
1591308360000,31,36,16,0,44,0,0
1591308660000,36,36,16,0,43,0,0
1591308960000,29,36,16,0,43,0,0
1591309260000,18,36,16,0,43,0,0
1591309560000,30,36,16,0,44,0,0
1591309860000,26,36,16,0,44,0,0
1591310160000,19,36,16,0,44,0,0
1591310460000,10,36,16,0,44,0,0
1591310760000,3,36,16,0,43,0,0
1591311120000,3,36,16,0,44,0,0
1591311420000,2,36,16,0,44,0,0
1591311720000,5,36,16,0,44,0,0
1591312020000,2,36,16,0,44,0,0
1591312320000,2,36,16,0,44,0,0
1591312620000,3,36,16,0,45,0,0
1591312920000,2,36,16,0,45,0,0
1591313220000,2,36,16,0,45,0,0
1591313520000,2,36,16,0,45,0,0
1591313820000,3,36,16,0,45,0,0
1591314120000,2,36,16,0,45,0,0
1591314480000,2,36,16,0,46,0,0
1591314780000,4,36,16,0,46,0,0
1591315080000,1,36,16,0,46,0,0
1591315380000,3,36,16,0,46,0,0
1591315680000,2,36,16,0,46,0,0
